"","Week","searches","app"
"1","10/9/2016",69,"Tinder"
"2","10/16/2016",66,"Tinder"
"3","10/23/2016",64,"Tinder"
"4","10/30/2016",60,"Tinder"
"5","11/6/2016",55,"Tinder"
"6","11/13/2016",91,"Tinder"
"7","11/20/2016",66,"Tinder"
"8","11/27/2016",63,"Tinder"
"9","12/4/2016",59,"Tinder"
"10","12/11/2016",55,"Tinder"
"11","12/18/2016",56,"Tinder"
"12","12/25/2016",67,"Tinder"
"13","1/1/2017",67,"Tinder"
"14","1/8/2017",65,"Tinder"
"15","1/15/2017",60,"Tinder"
"16","1/22/2017",59,"Tinder"
"17","1/29/2017",61,"Tinder"
"18","2/5/2017",58,"Tinder"
"19","2/12/2017",64,"Tinder"
"20","2/19/2017",60,"Tinder"
"21","2/26/2017",60,"Tinder"
"22","3/5/2017",71,"Tinder"
"23","3/12/2017",63,"Tinder"
"24","3/19/2017",58,"Tinder"
"25","3/26/2017",67,"Tinder"
"26","4/2/2017",62,"Tinder"
"27","4/9/2017",56,"Tinder"
"28","4/16/2017",56,"Tinder"
"29","4/23/2017",55,"Tinder"
"30","4/30/2017",55,"Tinder"
"31","5/7/2017",51,"Tinder"
"32","5/14/2017",55,"Tinder"
"33","5/21/2017",60,"Tinder"
"34","5/28/2017",61,"Tinder"
"35","6/4/2017",58,"Tinder"
"36","6/11/2017",57,"Tinder"
"37","6/18/2017",59,"Tinder"
"38","6/25/2017",65,"Tinder"
"39","7/2/2017",64,"Tinder"
"40","7/9/2017",74,"Tinder"
"41","7/16/2017",69,"Tinder"
"42","7/23/2017",77,"Tinder"
"43","7/30/2017",70,"Tinder"
"44","8/6/2017",69,"Tinder"
"45","8/13/2017",68,"Tinder"
"46","8/20/2017",65,"Tinder"
"47","8/27/2017",67,"Tinder"
"48","9/3/2017",70,"Tinder"
"49","9/10/2017",63,"Tinder"
"50","9/17/2017",64,"Tinder"
"51","9/24/2017",64,"Tinder"
"52","10/1/2017",61,"Tinder"
"53","10/8/2017",64,"Tinder"
"54","10/15/2017",61,"Tinder"
"55","10/22/2017",69,"Tinder"
"56","10/29/2017",63,"Tinder"
"57","11/5/2017",67,"Tinder"
"58","11/12/2017",63,"Tinder"
"59","11/19/2017",66,"Tinder"
"60","11/26/2017",59,"Tinder"
"61","12/3/2017",67,"Tinder"
"62","12/10/2017",62,"Tinder"
"63","12/17/2017",66,"Tinder"
"64","12/24/2017",72,"Tinder"
"65","12/31/2017",71,"Tinder"
"66","1/7/2018",64,"Tinder"
"67","1/14/2018",65,"Tinder"
"68","1/21/2018",71,"Tinder"
"69","1/28/2018",71,"Tinder"
"70","2/4/2018",65,"Tinder"
"71","2/11/2018",72,"Tinder"
"72","2/18/2018",75,"Tinder"
"73","2/25/2018",67,"Tinder"
"74","3/4/2018",67,"Tinder"
"75","3/11/2018",67,"Tinder"
"76","3/18/2018",69,"Tinder"
"77","3/25/2018",73,"Tinder"
"78","4/1/2018",88,"Tinder"
"79","4/8/2018",80,"Tinder"
"80","4/15/2018",72,"Tinder"
"81","4/22/2018",75,"Tinder"
"82","4/29/2018",87,"Tinder"
"83","5/6/2018",76,"Tinder"
"84","5/13/2018",76,"Tinder"
"85","5/20/2018",77,"Tinder"
"86","5/27/2018",73,"Tinder"
"87","6/3/2018",73,"Tinder"
"88","6/10/2018",78,"Tinder"
"89","6/17/2018",74,"Tinder"
"90","6/24/2018",79,"Tinder"
"91","7/1/2018",82,"Tinder"
"92","7/8/2018",81,"Tinder"
"93","7/15/2018",79,"Tinder"
"94","7/22/2018",84,"Tinder"
"95","7/29/2018",87,"Tinder"
"96","8/5/2018",85,"Tinder"
"97","8/12/2018",83,"Tinder"
"98","8/19/2018",89,"Tinder"
"99","8/26/2018",80,"Tinder"
"100","9/2/2018",85,"Tinder"
"101","9/9/2018",79,"Tinder"
"102","9/16/2018",78,"Tinder"
"103","9/23/2018",77,"Tinder"
"104","9/30/2018",78,"Tinder"
"105","10/7/2018",70,"Tinder"
"106","10/14/2018",74,"Tinder"
"107","10/21/2018",72,"Tinder"
"108","10/28/2018",72,"Tinder"
"109","11/4/2018",71,"Tinder"
"110","11/11/2018",75,"Tinder"
"111","11/18/2018",74,"Tinder"
"112","11/25/2018",75,"Tinder"
"113","12/2/2018",73,"Tinder"
"114","12/9/2018",72,"Tinder"
"115","12/16/2018",76,"Tinder"
"116","12/23/2018",80,"Tinder"
"117","12/30/2018",87,"Tinder"
"118","1/6/2019",92,"Tinder"
"119","1/13/2019",73,"Tinder"
"120","1/20/2019",73,"Tinder"
"121","1/27/2019",73,"Tinder"
"122","2/3/2019",71,"Tinder"
"123","2/10/2019",75,"Tinder"
"124","2/17/2019",75,"Tinder"
"125","2/24/2019",68,"Tinder"
"126","3/3/2019",70,"Tinder"
"127","3/10/2019",68,"Tinder"
"128","3/17/2019",70,"Tinder"
"129","3/24/2019",76,"Tinder"
"130","3/31/2019",73,"Tinder"
"131","4/7/2019",71,"Tinder"
"132","4/14/2019",67,"Tinder"
"133","4/21/2019",75,"Tinder"
"134","4/28/2019",69,"Tinder"
"135","5/5/2019",73,"Tinder"
"136","5/12/2019",72,"Tinder"
"137","5/19/2019",73,"Tinder"
"138","5/26/2019",79,"Tinder"
"139","6/2/2019",80,"Tinder"
"140","6/9/2019",75,"Tinder"
"141","6/16/2019",79,"Tinder"
"142","6/23/2019",79,"Tinder"
"143","6/30/2019",79,"Tinder"
"144","7/7/2019",81,"Tinder"
"145","7/14/2019",83,"Tinder"
"146","7/21/2019",85,"Tinder"
"147","7/28/2019",88,"Tinder"
"148","8/4/2019",81,"Tinder"
"149","8/11/2019",82,"Tinder"
"150","8/18/2019",84,"Tinder"
"151","8/25/2019",79,"Tinder"
"152","9/1/2019",79,"Tinder"
"153","9/8/2019",76,"Tinder"
"154","9/15/2019",71,"Tinder"
"155","9/22/2019",75,"Tinder"
"156","9/29/2019",72,"Tinder"
"157","10/6/2019",78,"Tinder"
"158","10/13/2019",77,"Tinder"
"159","10/20/2019",80,"Tinder"
