Week,Tinder,Bumble,Okcupid,Hinge,Coffee Meets Bagel
10/9/2016,69,26,43,19,1
10/16/2016,66,28,44,17,3
10/23/2016,64,32,44,17,2
10/30/2016,60,27,43,17,1
11/6/2016,55,19,40,14,1
11/13/2016,91,21,45,18,1
11/20/2016,66,18,44,16,1
11/27/2016,63,21,44,16,2
12/4/2016,59,24,42,14,2
12/11/2016,55,22,39,15,1
12/18/2016,56,21,41,14,2
12/25/2016,67,23,43,15,4
1/1/2017,67,24,44,17,3
1/8/2017,65,27,41,17,2
1/15/2017,60,23,39,15,2
1/22/2017,59,23,35,16,1
1/29/2017,61,20,37,17,6
2/5/2017,58,24,38,16,3
2/12/2017,64,21,43,19,3
2/19/2017,60,25,40,18,3
2/26/2017,60,25,36,17,4
3/5/2017,71,24,36,17,3
3/12/2017,63,27,39,14,2
3/19/2017,58,31,36,18,4
3/26/2017,67,27,37,15,2
4/2/2017,62,26,36,18,3
4/9/2017,56,30,40,15,2
4/16/2017,56,32,38,16,2
4/23/2017,55,30,35,16,3
4/30/2017,55,30,35,15,3
5/7/2017,51,27,39,15,2
5/14/2017,55,30,35,13,2
5/21/2017,60,25,38,17,3
5/28/2017,61,30,36,16,5
6/4/2017,58,29,37,16,2
6/11/2017,57,30,33,16,2
6/18/2017,59,31,38,15,2
6/25/2017,65,29,35,16,2
7/2/2017,64,32,35,17,5
7/9/2017,74,30,38,17,2
7/16/2017,69,31,35,17,3
7/23/2017,77,28,36,14,3
7/30/2017,70,30,37,20,2
8/6/2017,69,27,35,17,6
8/13/2017,68,30,32,18,3
8/20/2017,65,28,30,17,2
8/27/2017,67,26,30,15,3
9/3/2017,70,29,29,16,4
9/10/2017,63,26,31,16,2
9/17/2017,64,29,29,17,2
9/24/2017,64,27,30,16,2
10/1/2017,61,27,27,15,3
10/8/2017,64,27,31,16,4
10/15/2017,61,29,28,16,1
10/22/2017,69,30,29,18,1
10/29/2017,63,30,28,17,3
11/5/2017,67,25,27,19,1
11/12/2017,63,24,26,19,2
11/19/2017,66,23,25,16,2
11/26/2017,59,28,26,16,3
12/3/2017,67,26,26,17,2
12/10/2017,62,26,27,18,2
12/17/2017,66,25,27,18,2
12/24/2017,72,25,29,15,4
12/31/2017,71,28,32,17,3
1/7/2018,64,27,27,17,2
